parliament constituency,winning candidate,total votes,Margin
Ernakulam(12),HIBI EDEN,482317,250385
Idukki(13),ADV. DEAN KURIAKOSE,432372,133727
Alappuzha(15),K. C VENUGOPAL,404560,63513
Mavelikkara (16),KODIKUNNIL SURESH,369516,10868
Dahod(19),JASWANTSINH SUMANBHAI BHABHOR,688715,333677
Vadodara(20),DR. HEMANG JOSHI,873189,582126
Chhota Udaipur(21),JASHUBHAI BHILUBHAI RATHVA,796589,398777
Bharuch(22),MANSUKHBHAI DHANJIBHAI VASAVA,608157,85696
Bardoli(23),PARBHUBHAI NAGARBHAI VASAVA,763950,230253
Surat(24),MUKESHKUMAR CHANDRAKAANT DALAL (Uncontested),-,-
Navsari(25),C R PATIL,1031065,773551
Valsad(26),DHAVAL LAXMANBHAI PATEL,764226,210704
KURUKSHETRA(2),NAVEEN JINDAL,542175,29021
KARNAL(5),MANOHAR LAL,739285,232577
BHIWANI-MAHENDRAGARH(8),DHARAMBIR SINGH,588664,41510
GURGAON(9),RAO INDERJIT SINGH,808336,75079
FARIDABAD(10),KRISHAN PAL,788569,172914
KANGRA(1),DR RAJEEV BHARDWAJ,632793,251895
MANDI(2),KANGNA RANAUT,537022,74755
Pathanamthitta(17),ANTO ANTONY,367623,66119
Attingal(19),ADV ADOOR PRAKASH,328051,684
Thiruvananthapuram(20),SHASHI THAROOR,358155,16077
Nandurbar(1),ADV GOWAAL KAGADA PADAVI,745998,159120
Dhule(2),BACHHAV SHOBHA DINESH,583866,3831
Amravati (7),BALWANT BASWANT WANKHADE,526271,19731
Ramtek (9),Shyamkumar (Babalu) Daulat Barve,613025,76768
Bhandara Gondiya(11),DR. PRASHANT YADAORAO PADOLE,587413,37380
Gadchiroli - Chimur(12),DR. KIRSAN NAMDEO,617792,141696
Chandrapur(13),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,718410,260406
Nanded(16),CHAVAN VASANTRAO BALWANTRAO,528894,59442
Jalna(18),KALYAN VAIJINATHRAO KALE,607897,109958
Mumbai North Central(29),GAIKWAD VARSHA EKNATH,445545,16514
Latur (41),DR. KALGE SHIVAJI BANDAPPA,609021,61881
Solapur(42),PRANITI SUSHILKUMAR SHINDE,620225,74197
Kolhapur(47),CHHATRAPATI SHAHU SHAHAJI,754522,154964
Inner Manipur(1),ANGOMCHA BIMOL AKOIJAM,374017,109801
Outer Manipur(2),ALFRED KANNGAM S ARTHUR,384954,85418
HAMIRPUR(3),ANURAG SINGH THAKUR,607068,182357
SHIMLA(4),Suresh Kumar Kashyap,519748,91451
Belgaum(2),JAGADISH SHETTAR,762029,178437
Bagalkot(3),GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,671039,68399
Bijapur(4),RAMESH JIGAJINAGI,672781,77229
Haveri(10),BASAVARAJ BOMMAI,705538,43513
Dharwad(11),PRALHAD JOSHI,716231,97324
Uttara Kannada(12),VISHWESHWAR HEGDE KAGERI,782495,337428
Shimoga(14),B.Y.RAGHAVENDRA,778721,243715
Udupi Chikmagalur(15),KOTA SRINIVAS POOJARY,732234,259175
Dakshina Kannada(17),CAPTAIN BRIJESH CHOWTA,764132,149208
Chitradurga(18),GOVIND MAKTHAPPA KARJOL,684890,48121
Tumkur(19),V. SOMANNA,720946,175594
CHENNAI NORTH(2),DR.KALANIDHI VEERASWAMY,497333,339222
CHENNAI SOUTH(3),T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,516628,225945
CHENNAI CENTRAL(4),DAYANIDHI MARAN,413848,244689
SRIPERUMBUDUR(5),T R BAALU,758611,487029
KANCHEEPURAM(6),SELVAM. G,586044,221473
ARAKKONAM(7),S JAGATHRATCHAKAN,563216,306559
VELLORE(8),DM KATHIR ANAND,568692,215702
DHARMAPURI(10),MANI. A.,432667,21300
TIRUVANNAMALAI(11),"ANNADURAI, C.N.",547379,233931
ARANI(12),THARANIVENTHAN M S,500099,208766
KALLAKURICHI(14),MALAIYARASAN D,561589,53784
Tura(2),SALENG A SANGMA,383919,155241
Nagaland(1),S SUPONGMEREN JAMIR,401951,50984
Koraput(21),SAPTAGIRI SANKAR ULAKA,471393,147744
Gurdaspur(1),SUKHJINDER SINGH RANDHAWA,364043,82861
Amritsar(2),GURJEET SINGH AUJLA,255181,40301
Jalandhar(4),CHARANJIT SINGH CHANNI,390053,175993
Ludhiana(7),AMRINDER SINGH RAJA WARRING,322224,20942
Fatehgarh Sahib(8),AMAR SINGH,332591,34202
Firozpur(10),SHER SINGH GHUBAYA,266626,3242
Patiala(13),DR DHARAMVIRA GANDHI,305616,14831
GANGANAGAR (1),KULDEEP INDORA,726492,88153
CHURU(3),RAHUL KASWAN,728211,72737
JHUNJHUNU     (4),BRIJENDRA SINGH OLA,553168,18235
BHARATPUR (9),SANJNA JATAV,579890,51983
KARAULI-DHOLPUR (10),BHAJAN LAL JATAV,530011,98945
DAUSA (11),MURARI LAL MEENA,646266,237340
Mysore(21),YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,795503,139262
Bangalore Rural(23),DR C N MANJUNATH,1079002,269647
Bangalore North(24),SHOBHA KARANDLAJE,986049,259476
Bangalore central(25),P C MOHAN,658915,32707
Bangalore South(26),TEJASVI SURYA,750830,277083
Chikkballapur(27),DR.K.SUDHAKAR,822619,163460
Thrissur(10),SURESH GOPI,412338,74686
MORENA(1),SHIVMANGAL SINGH TOMAR,515477,52530
BHIND(2),SANDHYA RAY,537065,64840
GWALIOR(3),BHARAT SINGH KUSHWAH,671535,70210
GUNA(4),JYOTIRADITYA M. SCINDIA,923302,540929
SAGAR(5),DR. LATA WANKHEDE,787979,471222
TIKAMGARH(6),DR. VIRENDRA KUMAR,715050,403312
DAMOH(7),RAHUL SINGH LODHI,709768,406426
SALEM(15),SELVAGANAPATHI T M,566085,70357
NAMAKKAL(16),MATHESWARAN V S,462036,29112
ERODE(17),K E PRAKASH,562339,236566
NILGIRIS(19),RAJA A,473212,240585
COIMBATORE(20),GANAPATHY RAJKUMAR P,568200,118068
POLLACHI(21),ESWARASAMY K,533377,252042
PERAMBALUR(25),ARUN NEHRU,603209,389107
THANJAVUR(30),MURASOLI S,502245,319583
THENI(33),THANGA TAMILSELVAN,571493,278825
THOOTHUKKUDI(36),KANIMOZHI KARUNANIDHI,540729,392738
TENKASI(37),DR RANI SRI KUMAR,425679,196199
TIRUPPUR(18),"SUBBARAYAN, K.",472739,125928
NAGAPATTINAM(29),SELVARAJ V,465044,208957
Coochbehar(1),JAGADISH CHANDRA BARMA BASUNIA,788375,39250
Jangipur(9),KHALILUR RAHAMAN,544427,116637
Baharampur(10),PATHAN YUSUF,524516,85022
Murshidabad(11),ABU TAHER KHAN,682442,164215
Krishnanagar(12),MAHUA MOITRA,628789,56705
Barrackpur(15),PARTHA BHOWMICK,520231,64438
Dum dum(16),SOUGATA RAY,528579,70660
Barasat(17),KAKOLI GHOSH DASTIDAR,692010,114189
Basirhat(18),SK NURUL ISLAM,803762,333547
Joynagar(19),PRATIMA MONDAL,894312,470219
Mathurapur(20),BAPI HALDAR,755731,201057
Diamond harbour(21),ABHISHEK BANERJEE,1048230,710930
Jadavpur(22),SAYANI GHOSH,717899,258201
Kolkata Dakshin(23),MALA ROY,615274,187231
TONK-SAWAI MADHOPUR (12),HARISH CHANDRA MEENA,623763,64949
BARMER(17),UMMEDA RAM BENIWAL,704676,118176
TIRUVALLUR(1),Sasikanth Senthil,796956,572155
KRISHNAGIRI(9),GOPINATH K,492883,192486
KARUR(23),JOTHIMANI. S,534906,166816
CUDDALORE(26),M.K. VISHNUPRASAD,455053,185896
MAYILADUTHURAI(28),SUDHA R,518459,271183
SIVAGANGA(31),KARTI P CHIDAMBARAM,427677,205664
VIRUDHUNAGAR(34),MANICKAM TAGORE B,385256,4379
TIRUNELVELI(38),ROBERT BRUCE C,502296,165620
KHAJURAHO(8),VISHNU DATT SHARMA (V.D.SHARMA),772774,541229
SATNA(9),GANESH SINGH,459728,84949
REWA(10),JANARDAN MISHRA,477459,193374
SIDHI(11),DR. RAJESH MISHRA,583559,206416
SHAHDOL(12),SMT. HIMADRI SINGH,711143,397340
JABALPUR(13),ASHISH DUBEY,790133,486674
MANDLA(14),FAGGAN SINGH KULASTE,751375,103846
BALAGHAT(15),BHARTI PARDHI,712660,174512
CHHINDWARA(16),BUNTY VIVEK SAHU,644738,113618
HOSHANGABAD(17),DARSHAN SINGH CHOUDHARY,812147,431696
VIDISHA(18),SHIVRAJ SINGH CHOUHAN,1116460,821408
BHOPAL(19),ALOK SHARMA,981109,501499
Kolkata Uttar(24),BANDYOPADHYAY SUDIP,454696,92560
Howrah(25),PRASUN BANERJEE,626493,169442
Uluberia(26),SAJDA AHMED,724622,218673
Srerampur(27),KALYAN BANERJEE,673970,174830
Hooghly(28),RACHNA BANERJEE,702744,76853
Arambagh(29),BAG MITALI,712587,6399
Ghatal(32),ADHIKARI DEEPAK (DEV),837990,182868
Jhargram(33),KALIPADA SAREN (KHERWAL),743478,174048
Medinipur(34),JUNE MALIAH,702192,27191
Bankura(36),ARUP CHAKRABORTY,641813,32778
Bardhaman Purba(38),DR. SHARMILA SARKAR,720302,160572
Bardhaman-Durgapur(39),AZAD KIRTI JHA,720667,137981
Asansol(40),SHATRUGHAN PRASAD SINHA,605645,59564
Bolpur(41),ASIT KUMAR MAL,855633,327253
Birbhum(42),SATABDI ROY,717961,197650
